Count;DISTRICT;HUMAN INSTINCT;TYPE OF LAND;VLAND ID;COORDINATES;xy1_x;xy2_x;y3_x;xy4_x;Position X;Position Y;Cluster
1888;District 6 Sigma;Imagination;Deluxe;1464D;"-7808, -512";"-7792, -496";"-7792, -528";"-7824, -528";"-7824, -496";-7808.0000;-512.0000;136
1889;District 6 Sigma;Imagination;Deluxe;1549D;"-7840, 480";"-7824, 464";"-7824, 496";"-7856, 496";"-7856, 464";-7840.0000;480.0000;158
1890;District 6 Sigma;Imagination;Deluxe;1461D;"-7840, -480";"-7824, -464";"-7824, -496";"-7856, -496";"-7856, -464";-7840.0000;-480.0000;136
1891;District 6 Sigma;Imagination;Deluxe;1550D;"-7840, 512";"-7824, 496";"-7824, 528";"-7856, 528";"-7856, 496";-7840.0000;512.0000;158
1892;District 6 Sigma;Imagination;Deluxe;1462D;"-7840, -512";"-7824, -496";"-7824, -528";"-7856, -528";"-7856, -496";-7840.0000;-512.0000;136
1893;District 6 Sigma;Imagination;Deluxe;1559D;"-7984, 576";"-7968, 560";"-7968, 592";"-8000, 592";"-8000, 560";-7984.0000;576.0000;160
1894;District 6 Sigma;Imagination;Deluxe;1471D;"-7984, -576";"-7968, -560";"-7968, -592";"-8000, -592";"-8000, -560";-7984.0000;-576.0000;138
1895;District 6 Sigma;Imagination;Deluxe;1560D;"-7984, 608";"-7968, 592";"-7968, 624";"-8000, 624";"-8000, 592";-7984.0000;608.0000;160
1896;District 6 Sigma;Imagination;Deluxe;1472D;"-7984, -608";"-7968, -592";"-7968, -624";"-8000, -624";"-8000, -592";-7984.0000;-608.0000;138
1897;District 6 Sigma;Imagination;Deluxe;1557D;"-8016, 576";"-8000, 560";"-8000, 592";"-8032, 592";"-8032, 560";-8016.0000;576.0000;160
1898;District 6 Sigma;Imagination;Deluxe;1469D;"-8016, -576";"-8000, -560";"-8000, -592";"-8032, -592";"-8032, -560";-8016.0000;-576.0000;138
1899;District 6 Sigma;Imagination;Deluxe;1558D;"-8016, 608";"-8000, 592";"-8000, 624";"-8032, 624";"-8032, 592";-8016.0000;608.0000;160
1900;District 6 Sigma;Imagination;Deluxe;1470D;"-8016, -608";"-8000, -592";"-8000, -624";"-8032, -624";"-8032, -592";-8016.0000;-608.0000;138
2127;District 7 Kappa;Community;Deluxe;1590D;"-1744, -3616";"-1760, -3632";"-1760, -3600";"-1728, -3600";"-1728, -3632";-1744.0000;-3616.0000;168
2128;District 7 Kappa;Community;Deluxe;1589D;"-1744, -3648";"-1760, -3664";"-1760, -3632";"-1728, -3632";"-1728, -3664";-1744.0000;-3648.0000;168
2129;District 7 Kappa;Community;Deluxe;1669D;"-1744, -4944";"-1760, -4928";"-1760, -4960";"-1728, -4960";"-1728, -4928";-1744.0000;-4944.0000;188
2130;District 7 Kappa;Community;Deluxe;1670D;"-1744, -4976";"-1760, -4960";"-1760, -4992";"-1728, -4992";"-1728, -4960";-1744.0000;-4976.0000;188
2131;District 7 Kappa;Community;Deluxe;1621D;"-1744, -6272";"-1760, -6256";"-1760, -6288";"-1728, -6288";"-1728, -6256";-1744.0000;-6272.0000;176
2132;District 7 Kappa;Community;Deluxe;1622D;"-1744, -6304";"-1760, -6288";"-1760, -6320";"-1728, -6320";"-1728, -6288";-1744.0000;-6304.0000;176
2133;District 7 Kappa;Community;Deluxe;1592D;"-1776, -3616";"-1792, -3632";"-1792, -3600";"-1760, -3600";"-1760, -3632";-1776.0000;-3616.0000;168
2134;District 7 Kappa;Community;Deluxe;1591D;"-1776, -3648";"-1792, -3664";"-1792, -3632";"-1760, -3632";"-1760, -3664";-1776.0000;-3648.0000;168
2135;District 7 Kappa;Community;Deluxe;1671D;"-1776, -4944";"-1792, -4928";"-1792, -4960";"-1760, -4960";"-1760, -4928";-1776.0000;-4944.0000;188
2136;District 7 Kappa;Community;Deluxe;1672D;"-1776, -4976";"-1792, -4960";"-1792, -4992";"-1760, -4992";"-1760, -4960";-1776.0000;-4976.0000;188
2137;District 7 Kappa;Community;Deluxe;1623D;"-1776, -6272";"-1792, -6256";"-1792, -6288";"-1760, -6288";"-1760, -6256";-1776.0000;-6272.0000;176
2138;District 7 Kappa;Community;Deluxe;1624D;"-1776, -6304";"-1792, -6288";"-1792, -6320";"-1760, -6320";"-1760, -6288";-1776.0000;-6304.0000;176
2139;District 7 Kappa;Community;Deluxe;1582D;"-1920, -3712";"-1936, -3728";"-1936, -3696";"-1904, -3696";"-1904, -3728";-1920.0000;-3712.0000;166
2140;District 7 Kappa;Community;Deluxe;1581D;"-1920, -3744";"-1936, -3760";"-1936, -3728";"-1904, -3728";"-1904, -3760";-1920.0000;-3744.0000;166
2141;District 7 Kappa;Community;Deluxe;1584D;"-1952, -3712";"-1968, -3728";"-1968, -3696";"-1936, -3696";"-1936, -3728";-1952.0000;-3712.0000;166
2142;District 7 Kappa;Community;Deluxe;1583D;"-1952, -3744";"-1968, -3760";"-1968, -3728";"-1936, -3728";"-1936, -3760";-1952.0000;-3744.0000;166
2143;District 7 Kappa;Community;Deluxe;1640D;"-2224, -4080";"-2208, -4096";"-2208, -4064";"-2240, -4064";"-2240, -4096";-2224.0000;-4080.0000;180
2144;District 7 Kappa;Community;Deluxe;1639D;"-2224, -4112";"-2208, -4128";"-2208, -4096";"-2240, -4096";"-2240, -4128";-2224.0000;-4112.0000;180
2145;District 7 Kappa;Community;Deluxe;1631D;"-2224, -5808";"-2208, -5792";"-2208, -5824";"-2240, -5824";"-2240, -5792";-2224.0000;-5808.0000;178
2146;District 7 Kappa;Community;Deluxe;1632D;"-2224, -5840";"-2208, -5824";"-2208, -5856";"-2240, -5856";"-2240, -5824";-2224.0000;-5840.0000;178
2147;District 7 Kappa;Community;Deluxe;1638D;"-2256, -4080";"-2240, -4096";"-2240, -4064";"-2272, -4064";"-2272, -4096";-2256.0000;-4080.0000;180
2148;District 7 Kappa;Community;Deluxe;1637D;"-2256, -4112";"-2240, -4128";"-2240, -4096";"-2272, -4096";"-2272, -4128";-2256.0000;-4112.0000;180
2149;District 7 Kappa;Community;Deluxe;1629D;"-2256, -5808";"-2240, -5792";"-2240, -5824";"-2272, -5824";"-2272, -5792";-2256.0000;-5808.0000;178
2150;District 7 Kappa;Community;Deluxe;1630D;"-2256, -5840";"-2240, -5824";"-2240, -5856";"-2272, -5856";"-2272, -5824";-2256.0000;-5840.0000;178
2151;District 7 Kappa;Community;Deluxe;1578D;"-2448, -2416";"-2464, -2432";"-2464, -2400";"-2432, -2400";"-2432, -2432";-2448.0000;-2416.0000;165
2152;District 7 Kappa;Community;Deluxe;1577D;"-2448, -2448";"-2464, -2464";"-2464, -2432";"-2432, -2432";"-2432, -2464";-2448.0000;-2448.0000;165
2153;District 7 Kappa;Community;Deluxe;1617D;"-2448, -7472";"-2464, -7456";"-2464, -7488";"-2432, -7488";"-2432, -7456";-2448.0000;-7472.0000;175
2154;District 7 Kappa;Community;Deluxe;1618D;"-2448, -7504";"-2464, -7488";"-2464, -7520";"-2432, -7520";"-2432, -7488";-2448.0000;-7504.0000;175
2155;District 7 Kappa;Community;Deluxe;1580D;"-2480, -2416";"-2496, -2432";"-2496, -2400";"-2464, -2400";"-2464, -2432";-2480.0000;-2416.0000;165
2156;District 7 Kappa;Community;Deluxe;1579D;"-2480, -2448";"-2496, -2464";"-2496, -2432";"-2464, -2432";"-2464, -2464";-2480.0000;-2448.0000;165
2157;District 7 Kappa;Community;Deluxe;1619D;"-2480, -7472";"-2496, -7456";"-2496, -7488";"-2464, -7488";"-2464, -7456";-2480.0000;-7472.0000;175
2158;District 7 Kappa;Community;Deluxe;1620D;"-2480, -7504";"-2496, -7488";"-2496, -7520";"-2464, -7520";"-2464, -7488";-2480.0000;-7504.0000;175
2159;District 7 Kappa;Community;Deluxe;1586D;"-2624, -2544";"-2640, -2560";"-2640, -2528";"-2608, -2528";"-2608, -2560";-2624.0000;-2544.0000;167
2160;District 7 Kappa;Community;Deluxe;1585D;"-2624, -2576";"-2640, -2592";"-2640, -2560";"-2608, -2560";"-2608, -2592";-2624.0000;-2576.0000;167
2161;District 7 Kappa;Community;Deluxe;1588D;"-2656, -2544";"-2672, -2560";"-2672, -2528";"-2640, -2528";"-2640, -2560";-2656.0000;-2544.0000;167
2162;District 7 Kappa;Community;Deluxe;1587D;"-2656, -2576";"-2672, -2592";"-2672, -2560";"-2640, -2560";"-2640, -2592";-2656.0000;-2576.0000;167
2163;District 7 Kappa;Community;Deluxe;1608D;"-3104, -2544";"-3088, -2560";"-3088, -2528";"-3120, -2528";"-3120, -2560";-3104.0000;-2544.0000;172
2164;District 7 Kappa;Community;Deluxe;1607D;"-3104, -2576";"-3088, -2592";"-3088, -2560";"-3120, -2560";"-3120, -2592";-3104.0000;-2576.0000;172
2165;District 7 Kappa;Community;Deluxe;1606D;"-3136, -2544";"-3120, -2560";"-3120, -2528";"-3152, -2528";"-3152, -2560";-3136.0000;-2544.0000;172
2166;District 7 Kappa;Community;Deluxe;1605D;"-3136, -2576";"-3120, -2592";"-3120, -2560";"-3152, -2560";"-3152, -2592";-3136.0000;-2576.0000;172
2167;District 7 Kappa;Community;Deluxe;1604D;"-3280, -2416";"-3264, -2432";"-3264, -2400";"-3296, -2400";"-3296, -2432";-3280.0000;-2416.0000;171
2168;District 7 Kappa;Community;Deluxe;1603D;"-3280, -2448";"-3264, -2464";"-3264, -2432";"-3296, -2432";"-3296, -2464";-3280.0000;-2448.0000;171
2169;District 7 Kappa;Community;Deluxe;1611D;"-3280, -7472";"-3264, -7456";"-3264, -7488";"-3296, -7488";"-3296, -7456";-3280.0000;-7472.0000;173
2170;District 7 Kappa;Community;Deluxe;1612D;"-3280, -7504";"-3264, -7488";"-3264, -7520";"-3296, -7520";"-3296, -7488";-3280.0000;-7504.0000;173
2171;District 7 Kappa;Community;Deluxe;1602D;"-3312, -2416";"-3296, -2432";"-3296, -2400";"-3328, -2400";"-3328, -2432";-3312.0000;-2416.0000;171
2172;District 7 Kappa;Community;Deluxe;1601D;"-3312, -2448";"-3296, -2464";"-3296, -2432";"-3328, -2432";"-3328, -2464";-3312.0000;-2448.0000;171
2173;District 7 Kappa;Community;Deluxe;1609D;"-3312, -7472";"-3296, -7456";"-3296, -7488";"-3328, -7488";"-3328, -7456";-3312.0000;-7472.0000;173
2174;District 7 Kappa;Community;Deluxe;1610D;"-3312, -7504";"-3296, -7488";"-3296, -7520";"-3328, -7520";"-3328, -7488";-3312.0000;-7504.0000;173
2175;District 7 Kappa;Community;Deluxe;1634D;"-3504, -4080";"-3520, -4096";"-3520, -4064";"-3488, -4064";"-3488, -4096";-3504.0000;-4080.0000;179
2176;District 7 Kappa;Community;Deluxe;1633D;"-3504, -4112";"-3520, -4128";"-3520, -4096";"-3488, -4096";"-3488, -4128";-3504.0000;-4112.0000;179
2177;District 7 Kappa;Community;Deluxe;1625D;"-3504, -5808";"-3520, -5792";"-3520, -5824";"-3488, -5824";"-3488, -5792";-3504.0000;-5808.0000;177
2178;District 7 Kappa;Community;Deluxe;1626D;"-3504, -5840";"-3520, -5824";"-3520, -5856";"-3488, -5856";"-3488, -5824";-3504.0000;-5840.0000;177
2179;District 7 Kappa;Community;Deluxe;1636D;"-3536, -4080";"-3552, -4096";"-3552, -4064";"-3520, -4064";"-3520, -4096";-3536.0000;-4080.0000;179
2180;District 7 Kappa;Community;Deluxe;1635D;"-3536, -4112";"-3552, -4128";"-3552, -4096";"-3520, -4096";"-3520, -4128";-3536.0000;-4112.0000;179
2181;District 7 Kappa;Community;Deluxe;1627D;"-3536, -5808";"-3552, -5792";"-3552, -5824";"-3520, -5824";"-3520, -5792";-3536.0000;-5808.0000;177
2182;District 7 Kappa;Community;Deluxe;1628D;"-3536, -5840";"-3552, -5824";"-3552, -5856";"-3520, -5856";"-3520, -5824";-3536.0000;-5840.0000;177
2183;District 7 Kappa;Community;Deluxe;1596D;"-3808, -3752";"-3792, -3768";"-3792, -3736";"-3824, -3736";"-3824, -3768";-3808.0000;-3752.0000;169
2184;District 7 Kappa;Community;Deluxe;1595D;"-3808, -3784";"-3792, -3800";"-3792, -3768";"-3824, -3768";"-3824, -3800";-3808.0000;-3784.0000;169
2185;District 7 Kappa;Community;Deluxe;1594D;"-3840, -3752";"-3824, -3768";"-3824, -3736";"-3856, -3736";"-3856, -3768";-3840.0000;-3752.0000;169
2186;District 7 Kappa;Community;Deluxe;1593D;"-3840, -3784";"-3824, -3800";"-3824, -3768";"-3856, -3768";"-3856, -3800";-3840.0000;-3784.0000;169
2187;District 7 Kappa;Community;Deluxe;1600D;"-3984, -3616";"-3968, -3632";"-3968, -3600";"-4000, -3600";"-4000, -3632";-3984.0000;-3616.0000;170
2188;District 7 Kappa;Community;Deluxe;1599D;"-3984, -3648";"-3968, -3664";"-3968, -3632";"-4000, -3632";"-4000, -3664";-3984.0000;-3648.0000;170
2189;District 7 Kappa;Community;Deluxe;1665D;"-3984, -4944";"-4000, -4928";"-4000, -4960";"-3968, -4960";"-3968, -4928";-3984.0000;-4944.0000;187
2190;District 7 Kappa;Community;Deluxe;1666D;"-3984, -4976";"-4000, -4960";"-4000, -4992";"-3968, -4992";"-3968, -4960";-3984.0000;-4976.0000;187
2191;District 7 Kappa;Community;Deluxe;1615D;"-3984, -6272";"-3968, -6256";"-3968, -6288";"-4000, -6288";"-4000, -6256";-3984.0000;-6272.0000;174
2192;District 7 Kappa;Community;Deluxe;1616D;"-3984, -6304";"-3968, -6288";"-3968, -6320";"-4000, -6320";"-4000, -6288";-3984.0000;-6304.0000;174
2193;District 7 Kappa;Community;Deluxe;1598D;"-4016, -3616";"-4000, -3632";"-4000, -3600";"-4032, -3600";"-4032, -3632";-4016.0000;-3616.0000;170
2194;District 7 Kappa;Community;Deluxe;1597D;"-4016, -3648";"-4000, -3664";"-4000, -3632";"-4032, -3632";"-4032, -3664";-4016.0000;-3648.0000;170
2195;District 7 Kappa;Community;Deluxe;1667D;"-4016, -4944";"-4032, -4928";"-4032, -4960";"-4000, -4960";"-4000, -4928";-4016.0000;-4944.0000;187
2196;District 7 Kappa;Community;Deluxe;1668D;"-4016, -4976";"-4032, -4960";"-4032, -4992";"-4000, -4992";"-4000, -4960";-4016.0000;-4976.0000;187
2197;District 7 Kappa;Community;Deluxe;1613D;"-4016, -6272";"-4000, -6256";"-4000, -6288";"-4032, -6288";"-4032, -6256";-4016.0000;-6272.0000;174
2198;District 7 Kappa;Community;Deluxe;1614D;"-4016, -6304";"-4000, -6288";"-4000, -6320";"-4032, -6320";"-4032, -6288";-4016.0000;-6304.0000;174
2199;District 7 Kappa;Community;Deluxe;1660D;"-4384, -3280";"-4368, -3296";"-4368, -3264";"-4400, -3264";"-4400, -3296";-4384.0000;-3280.0000;185
2200;District 7 Kappa;Community;Deluxe;1659D;"-4384, -3312";"-4368, -3328";"-4368, -3296";"-4400, -3296";"-4400, -3328";-4384.0000;-3312.0000;185
2201;District 7 Kappa;Community;Deluxe;1571D;"-4384, -6608";"-4368, -6592";"-4368, -6624";"-4400, -6624";"-4400, -6592";-4384.0000;-6608.0000;163
2202;District 7 Kappa;Community;Deluxe;1572D;"-4384, -6640";"-4368, -6624";"-4368, -6656";"-4400, -6656";"-4400, -6624";-4384.0000;-6640.0000;163
2203;District 7 Kappa;Community;Deluxe;1658D;"-4416, -3280";"-4400, -3296";"-4400, -3264";"-4432, -3264";"-4432, -3296";-4416.0000;-3280.0000;185
2204;District 7 Kappa;Community;Deluxe;1657D;"-4416, -3312";"-4400, -3328";"-4400, -3296";"-4432, -3296";"-4432, -3328";-4416.0000;-3312.0000;185
2205;District 7 Kappa;Community;Deluxe;1569D;"-4416, -6608";"-4400, -6592";"-4400, -6624";"-4432, -6624";"-4432, -6592";-4416.0000;-6608.0000;163
2206;District 7 Kappa;Community;Deluxe;1570D;"-4416, -6640";"-4400, -6624";"-4400, -6656";"-4432, -6656";"-4432, -6624";-4416.0000;-6640.0000;163
2207;District 7 Kappa;Community;Deluxe;1652D;"-4560, -3152";"-4544, -3168";"-4544, -3136";"-4576, -3136";"-4576, -3168";-4560.0000;-3152.0000;183
2208;District 7 Kappa;Community;Deluxe;1651D;"-4560, -3184";"-4544, -3200";"-4544, -3168";"-4576, -3168";"-4576, -3200";-4560.0000;-3184.0000;183
2209;District 7 Kappa;Community;Deluxe;1563D;"-4560, -6736";"-4544, -6720";"-4544, -6752";"-4576, -6752";"-4576, -6720";-4560.0000;-6736.0000;161
2210;District 7 Kappa;Community;Deluxe;1564D;"-4560, -6768";"-4544, -6752";"-4544, -6784";"-4576, -6784";"-4576, -6752";-4560.0000;-6768.0000;161
2211;District 7 Kappa;Community;Deluxe;1650D;"-4592, -3152";"-4576, -3168";"-4576, -3136";"-4608, -3136";"-4608, -3168";-4592.0000;-3152.0000;183
2212;District 7 Kappa;Community;Deluxe;1649D;"-4592, -3184";"-4576, -3200";"-4576, -3168";"-4608, -3168";"-4608, -3200";-4592.0000;-3184.0000;183
2213;District 7 Kappa;Community;Deluxe;1561D;"-4592, -6736";"-4576, -6720";"-4576, -6752";"-4608, -6752";"-4608, -6720";-4592.0000;-6736.0000;161
2214;District 7 Kappa;Community;Deluxe;1562D;"-4592, -6768";"-4576, -6752";"-4576, -6784";"-4608, -6784";"-4608, -6752";-4592.0000;-6768.0000;161
2215;District 7 Kappa;Community;Deluxe;1642D;"-4784, -4806";"-4800, -4822";"-4800, -4790";"-4768, -4790";"-4768, -4822";-4784.0000;-4806.0000;181
2216;District 7 Kappa;Community;Deluxe;1641D;"-4784, -4838";"-4800, -4854";"-4800, -4822";"-4768, -4822";"-4768, -4854";-4784.0000;-4838.0000;181
2217;District 7 Kappa;Community;Deluxe;1645D;"-4784, -5082";"-4800, -5066";"-4800, -5098";"-4768, -5098";"-4768, -5066";-4784.0000;-5082.0000;182
2218;District 7 Kappa;Community;Deluxe;1646D;"-4784, -5114";"-4800, -5098";"-4800, -5130";"-4768, -5130";"-4768, -5098";-4784.0000;-5114.0000;182
2219;District 7 Kappa;Community;Deluxe;1644D;"-4816, -4806";"-4832, -4822";"-4832, -4790";"-4800, -4790";"-4800, -4822";-4816.0000;-4806.0000;181
2220;District 7 Kappa;Community;Deluxe;1643D;"-4816, -4838";"-4832, -4854";"-4832, -4822";"-4800, -4822";"-4800, -4854";-4816.0000;-4838.0000;181
2221;District 7 Kappa;Community;Deluxe;1647D;"-4816, -5082";"-4832, -5066";"-4832, -5098";"-4800, -5098";"-4800, -5066";-4816.0000;-5082.0000;182
2222;District 7 Kappa;Community;Deluxe;1648D;"-4816, -5114";"-4832, -5098";"-4832, -5130";"-4800, -5130";"-4800, -5098";-4816.0000;-5114.0000;182
2223;District 7 Kappa;Community;Deluxe;1656D;"-5088, -4448";"-5072, -4464";"-5072, -4432";"-5104, -4432";"-5104, -4464";-5088.0000;-4448.0000;184
2224;District 7 Kappa;Community;Deluxe;1655D;"-5088, -4480";"-5072, -4496";"-5072, -4464";"-5104, -4464";"-5104, -4496";-5088.0000;-4480.0000;184
2225;District 7 Kappa;Community;Deluxe;1567D;"-5088, -5440";"-5072, -5424";"-5072, -5456";"-5104, -5456";"-5104, -5424";-5088.0000;-5440.0000;162
2226;District 7 Kappa;Community;Deluxe;1568D;"-5088, -5472";"-5072, -5456";"-5072, -5488";"-5104, -5488";"-5104, -5456";-5088.0000;-5472.0000;162
2227;District 7 Kappa;Community;Deluxe;1654D;"-5120, -4448";"-5104, -4464";"-5104, -4432";"-5136, -4432";"-5136, -4464";-5120.0000;-4448.0000;184
2228;District 7 Kappa;Community;Deluxe;1653D;"-5120, -4480";"-5104, -4496";"-5104, -4464";"-5136, -4464";"-5136, -4496";-5120.0000;-4480.0000;184
2229;District 7 Kappa;Community;Deluxe;1565D;"-5120, -5440";"-5104, -5424";"-5104, -5456";"-5136, -5456";"-5136, -5424";-5120.0000;-5440.0000;162
2230;District 7 Kappa;Community;Deluxe;1566D;"-5120, -5472";"-5104, -5456";"-5104, -5488";"-5136, -5488";"-5136, -5456";-5120.0000;-5472.0000;162
2231;District 7 Kappa;Community;Deluxe;1664D;"-5264, -4352";"-5248, -4368";"-5248, -4336";"-5280, -4336";"-5280, -4368";-5264.0000;-4352.0000;186
2232;District 7 Kappa;Community;Deluxe;1663D;"-5264, -4384";"-5248, -4400";"-5248, -4368";"-5280, -4368";"-5280, -4400";-5264.0000;-4384.0000;186
2233;District 7 Kappa;Community;Deluxe;1575D;"-5264, -5536";"-5248, -5520";"-5248, -5552";"-5280, -5552";"-5280, -5520";-5264.0000;-5536.0000;164
2234;District 7 Kappa;Community;Deluxe;1576D;"-5264, -5568";"-5248, -5552";"-5248, -5584";"-5280, -5584";"-5280, -5552";-5264.0000;-5568.0000;164
2235;District 7 Kappa;Community;Deluxe;1662D;"-5296, -4352";"-5280, -4368";"-5280, -4336";"-5312, -4336";"-5312, -4368";-5296.0000;-4352.0000;186
2236;District 7 Kappa;Community;Deluxe;1661D;"-5296, -4384";"-5280, -4400";"-5280, -4368";"-5312, -4368";"-5312, -4400";-5296.0000;-4384.0000;186
2237;District 7 Kappa;Community;Deluxe;1573D;"-5296, -5536";"-5280, -5520";"-5280, -5552";"-5312, -5552";"-5312, -5520";-5296.0000;-5536.0000;164
2238;District 7 Kappa;Community;Deluxe;1574D;"-5296, -5568";"-5280, -5552";"-5280, -5584";"-5312, -5584";"-5312, -5552";-5296.0000;-5568.0000;164
105;District 1 Alpha;Curiosity;Exclusive;0097E;"2058, -32";"2074, -48";"2074, -16";"2042, -16";"2042, -48";2058.0000;-32.0000;13
106;District 1 Alpha;Curiosity;Exclusive;0101E;"2058, 0";"2074, -16";"2074, 16";"2042, 16";"2042, -16";2058.0000;0.0000;13
107;District 1 Alpha;Curiosity;Exclusive;0102E;"2058, 32";"2074, 16";"2074, 48";"2042, 48";"2042, 16";2058.0000;32.0000;13
108;District 1 Alpha;Curiosity;Exclusive;0100E;"2122, 0";"2138, -16";"2138, 16";"2106, 16";"2106, -16";2122.0000;0.0000;13
109;District 1 Alpha;Curiosity;Exclusive;0098E;"2090, -32";"2106, -48";"2106, -16";"2074, -16";"2074, -48";2090.0000;-32.0000;13
110;District 1 Alpha;Curiosity;Exclusive;0099E;"2122, -32";"2138, -48";"2138, -16";"2106, -16";"2106, -48";2122.0000;-32.0000;13
111;District 1 Alpha;Curiosity;Exclusive;0103E;"2090, 32";"2106, 16";"2106, 48";"2074, 48";"2074, 16";2090.0000;32.0000;13
112;District 1 Alpha;Curiosity;Exclusive;0104E;"2122, 32";"2138, 16";"2138, 48";"2106, 48";"2106, 16";2122.0000;32.0000;13
113;District 1 Alpha;Curiosity;Exclusive;0081E;"-768, -754";"-784, -738";"-784, -770";"-752, -770";"-752, -738";-768.0000;-754.0000;11
114;District 1 Alpha;Curiosity;Exclusive;0082E;"-800, -754";"-816, -738";"-816, -770";"-784, -770";"-784, -738";-800.0000;-754.0000;11
115;District 1 Alpha;Curiosity;Exclusive;0083E;"-832, -754";"-848, -738";"-848, -770";"-816, -770";"-816, -738";-832.0000;-754.0000;11
116;District 1 Alpha;Curiosity;Exclusive;0087E;"-800, -818";"-816, -802";"-816, -834";"-784, -834";"-784, -802";-800.0000;-818.0000;11
117;District 1 Alpha;Curiosity;Exclusive;0088E;"-832, -818";"-848, -802";"-848, -834";"-816, -834";"-816, -802";-832.0000;-818.0000;11
118;District 1 Alpha;Curiosity;Exclusive;0086E;"-768, -818";"-784, -802";"-784, -834";"-752, -834";"-752, -802";-768.0000;-818.0000;11
119;District 1 Alpha;Curiosity;Exclusive;0084E;"-832, -786";"-848, -770";"-848, -802";"-816, -802";"-816, -770";-832.0000;-786.0000;11
120;District 1 Alpha;Curiosity;Exclusive;0085E;"-768, -786";"-784, -770";"-784, -802";"-752, -802";"-752, -770";-768.0000;-786.0000;11
121;District 1 Alpha;Curiosity;Exclusive;0078E;"768, 816";"784, 800";"784, 832";"752, 832";"752, 800";768.0000;816.0000;10
122;District 1 Alpha;Curiosity;Exclusive;0079E;"800, 816";"816, 800";"816, 832";"784, 832";"784, 800";800.0000;816.0000;10
123;District 1 Alpha;Curiosity;Exclusive;0077E;"768, 784";"784, 768";"784, 800";"752, 800";"752, 768";768.0000;784.0000;10
124;District 1 Alpha;Curiosity;Exclusive;0075E;"832, 752";"848, 736";"848, 768";"816, 768";"816, 736";832.0000;752.0000;10
125;District 1 Alpha;Curiosity;Exclusive;0076E;"832, 784";"848, 768";"848, 800";"816, 800";"816, 768";832.0000;784.0000;10
126;District 1 Alpha;Curiosity;Exclusive;0080E;"832, 816";"848, 800";"848, 832";"816, 832";"816, 800";832.0000;816.0000;10
127;District 1 Alpha;Curiosity;Exclusive;0095E;"800, -816";"816, -800";"816, -832";"784, -832";"784, -800";800.0000;-816.0000;12
128;District 1 Alpha;Curiosity;Exclusive;0096E;"832, -816";"848, -800";"848, -832";"816, -832";"816, -800";832.0000;-816.0000;12
129;District 1 Alpha;Curiosity;Exclusive;0094E;"768, -816";"784, -800";"784, -832";"752, -832";"752, -800";768.0000;-816.0000;12
130;District 1 Alpha;Curiosity;Exclusive;0092E;"832, -784";"848, -768";"848, -800";"816, -800";"816, -768";832.0000;-784.0000;12
131;District 1 Alpha;Curiosity;Exclusive;0093E;"768, -784";"784, -768";"784, -800";"752, -800";"752, -768";768.0000;-784.0000;12
132;District 1 Alpha;Curiosity;Exclusive;0090E;"800, -752";"816, -736";"816, -768";"784, -768";"784, -736";800.0000;-752.0000;12
133;District 1 Alpha;Curiosity;Exclusive;0091E;"832, -752";"848, -736";"848, -768";"816, -768";"816, -736";832.0000;-752.0000;12
134;District 1 Alpha;Curiosity;Exclusive;0089E;"768, -752";"784, -736";"784, -768";"752, -768";"752, -736";768.0000;-752.0000;12
135;District 1 Alpha;Curiosity;Exclusive;0137E;"2432, -368";"2416, -352";"2416, -384";"2448, -384";"2448, -352";2432.0000;-368.0000;18
136;District 1 Alpha;Curiosity;Exclusive;0130E;"240, 2560";"224, 2544";"224, 2576";"256, 2576";"256, 2544";240.0000;2560.0000;17
137;District 1 Alpha;Curiosity;Exclusive;0131E;"208, 2560";"192, 2544";"192, 2576";"224, 2576";"224, 2544";208.0000;2560.0000;17
138;District 1 Alpha;Curiosity;Exclusive;0129E;"272, 2560";"256, 2544";"256, 2576";"288, 2576";"288, 2544";272.0000;2560.0000;17
139;District 1 Alpha;Curiosity;Exclusive;0127E;"1120, 1168";"1104, 1152";"1104, 1184";"1136, 1184";"1136, 1152";1120.0000;1168.0000;16
140;District 1 Alpha;Curiosity;Exclusive;0128E;"1088, 1168";"1072, 1152";"1072, 1184";"1104, 1184";"1104, 1152";1088.0000;1168.0000;16
141;District 1 Alpha;Curiosity;Exclusive;0132E;"208, 2592";"192, 2576";"192, 2608";"224, 2608";"224, 2576";208.0000;2592.0000;17
142;District 1 Alpha;Curiosity;Exclusive;0136E;"208, 2624";"192, 2608";"192, 2640";"224, 2640";"224, 2608";208.0000;2624.0000;17
143;District 1 Alpha;Curiosity;Exclusive;0135E;"240, 2624";"224, 2608";"224, 2640";"256, 2640";"256, 2608";240.0000;2624.0000;17
144;District 1 Alpha;Curiosity;Exclusive;0133E;"272, 2592";"256, 2576";"256, 2608";"288, 2608";"288, 2576";272.0000;2592.0000;17
145;District 1 Alpha;Curiosity;Exclusive;0134E;"272, 2624";"256, 2608";"256, 2640";"288, 2640";"288, 2608";272.0000;2624.0000;17
146;District 1 Alpha;Curiosity;Exclusive;0138E;"2400, -368";"2384, -352";"2384, -384";"2416, -384";"2416, -352";2400.0000;-368.0000;18
147;District 1 Alpha;Curiosity;Exclusive;0142E;"2432, -432";"2416, -416";"2416, -448";"2448, -448";"2448, -416";2432.0000;-432.0000;18
